Step,Temp,E_pair,E_mol,TotEng,Press
16450,0.45139544,-2.3002706,0.061329552,-1.7879218,0.94500361
16500,0.44703453,-2.3141558,0.062030417,-1.8054634,1.0103535
16550,0.44674107,-2.3068435,0.067040509,-1.7934342,0.90477102
16600,0.44926533,-2.3055645,0.054137648,-1.8025359,0.88901148
16650,0.44953878,-2.2943685,0.066700814,-1.7785035,0.86589302
16700,0.46192668,-2.3105035,0.061688251,-1.7872735,0.85643243
16750,0.45474394,-2.3224088,0.067822474,-1.8002214,0.86285957
16800,0.44694547,-2.311704,0.068916949,-1.796214,0.87552754
16850,0.44421206,-2.2887023,0.061947981,-1.7829125,1.0391213
16900,0.45385499,-2.2954298,0.060012709,-1.7819403,0.88664592
16950,0.46752712,-2.3222471,0.063527242,-1.7915824,0.7728368
17000,0.46642137,-2.3256352,0.062777622,-1.7968249,0.79926077
17050,0.4449878,-2.2899836,0.067222742,-1.7781439,0.84163109
17100,0.46420757,-2.3239083,0.062284548,-1.797803,0.78110884
17150,0.44352395,-2.2945788,0.067886691,-1.7835377,0.95298296
17200,0.46949273,-2.321479,0.057279389,-1.7950981,0.74925107
17250,0.45528778,-2.314516,0.068202869,-1.7914047,0.83296036
17300,0.46737798,-2.3270775,0.057040201,-1.8030488,0.77397449
17350,0.46591033,-2.3190103,0.062055781,-1.7914324,0.91881845
17400,0.4612748,-2.32643,0.0693343,-1.7962053,0.82484836
17450,0.46914728,-2.3137355,0.061225352,-1.7837539,0.89785028
17500,0.45699574,-2.3041752,0.053900041,-1.7936602,0.94804578
17550,0.46295368,-2.3179307,0.071469865,-1.783893,0.78549545
17600,0.46410751,-2.3067818,0.051481036,-1.79158,0.92812772
17650,0.4598067,-2.3059665,0.055949762,-1.7905932,1.0200136
17700,0.46753453,-2.3190835,0.061424605,-1.790514,0.83149118
17750,0.46453387,-2.3203426,0.069848199,-1.7863477,0.88235455
17800,0.45,-2.3212037,0.054300787,-1.8172779,0.74695938
17850,0.4520516,-2.3377274,0.056216101,-1.8298364,0.71595375
17900,0.43864158,-2.3302889,0.060581003,-1.8314319,0.72817056
17950,0.43913903,-2.3226284,0.05894909,-1.8249062,0.69775863
18000,0.43693936,-2.3244168,0.06480634,-1.8230352,0.6652246
18050,0.43647056,-2.3049776,0.050251504,-1.8186193,0.61281943
18100,0.44129171,-2.3141448,0.057241034,-1.8159798,0.62962491
18150,0.44674593,-2.3258231,0.057382536,-1.8220669,0.79492528
18200,0.44305071,-2.3182659,0.0592969,-1.8162875,0.75823454
18250,0.44339656,-2.3364572,0.0668416,-1.8265886,0.68101628
18300,0.43405031,-2.3298899,0.068157668,-1.8280436,0.67856632
18350,0.45435371,-2.341777,0.063198092,-1.8246039,0.61226208
18400,0.44795029,-2.3206621,0.057090858,-1.8159942,0.6884547
18450,0.45794613,-2.3290728,0.058435235,-1.813073,0.61247987
18500,0.43672741,-2.3106869,0.060946232,-1.8133772,0.78749223
18550,0.44339514,-2.3130429,0.052856403,-1.8171609,0.65782634
18600,0.44788416,-2.3269615,0.061040636,-1.81841,0.65845551
